sigma1	sigma2	posterior
-7.600000000000000418e-04	6.000000000000000000e+04	3.879028225709973034e-100
-7.600000000000000418e-04	6.500000000000000000e+04	1.700916031785577053e-99
-7.600000000000000418e-04	7.000000000000000000e+04	7.417954967251444949e-99
-7.600000000000000418e-04	7.500000000000000000e+04	3.217561773264564144e-98
-7.600000000000000418e-04	8.000000000000000000e+04	1.388068752730655434e-97
-7.600000000000000418e-04	8.500000000000000000e+04	5.955749804357858701e-97
-7.600000000000000418e-04	9.000000000000000000e+04	2.541577140110826254e-96
-7.600000000000000418e-04	9.500000000000000000e+04	1.078726950889791768e-95
-7.600000000000000418e-04	1.000000000000000000e+05	4.553665717018741646e-95
-7.600000000000000418e-04	1.050000000000000000e+05	1.911842650803688198e-94
-7.600000000000000418e-04	1.100000000000000000e+05	7.983338222185207802e-94
-7.600000000000000418e-04	1.150000000000000000e+05	3.315570715923045678e-93
-7.600000000000000418e-04	1.200000000000000000e+05	1.369535973970996433e-92
-7.600000000000000418e-04	1.250000000000000000e+05	5.626391871105085127e-92
-7.600000000000000418e-04	1.300000000000000000e+05	2.298941353815547174e-91
-7.600000000000000418e-04	1.350000000000000000e+05	9.342587870885631603e-91
-7.600000000000000418e-04	1.400000000000000000e+05	3.776138137306572651e-90
-7.600000000000000418e-04	1.450000000000000000e+05	1.517993591596038086e-89
-7.600000000000000418e-04	1.500000000000000000e+05	6.069227070964481389e-89
-7.600000000000000418e-04	1.550000000000000000e+05	2.413449509167584370e-88
-7.600000000000000418e-04	1.600000000000000000e+05	9.545186799250547407e-88
-7.600000000000000418e-04	1.650000000000000000e+05	3.754672220844386056e-87
-7.600000000000000418e-04	1.700000000000000000e+05	1.468929694540889658e-86
-7.600000000000000418e-04	1.750000000000000000e+05	5.715725639378626618e-86
-7.600000000000000418e-04	1.800000000000000000e+05	2.211989805087016161e-85
-7.600000000000000418e-04	1.850000000000000000e+05	8.514051074311613296e-85
-7.600000000000000418e-04	1.900000000000000000e+05	3.259348239189938640e-84
-7.600000000000000418e-04	1.950000000000000000e+05	1.240985367489654679e-83
-7.600000000000000418e-04	2.000000000000000000e+05	4.699416530866436883e-83
-7.399999999999999894e-04	-2.000000000000000000e+05	1.446904946734941593e-130
-7.399999999999999894e-04	-1.950000000000000000e+05	8.072542475638236235e-130
-7.399999999999999894e-04	-1.900000000000000000e+05	4.479422832784523655e-129
-7.399999999999999894e-04	-1.850000000000000000e+05	2.472151961700070169e-128
-7.399999999999999894e-04	-1.800000000000000000e+05	1.356968136321289186e-127
-7.399999999999999894e-04	-1.750000000000000000e+05	7.408077546772985059e-127
-7.399999999999999894e-04	-1.700000000000000000e+05	4.022377002072441942e-126
-7.399999999999999894e-04	-1.650000000000000000e+05	2.172208001638837100e-125
-7.399999999999999894e-04	-1.600000000000000000e+05	1.166705992524305567e-124
-7.399999999999999894e-04	-1.550000000000000000e+05	6.232507804856300719e-124
