sigma1	sigma2	posterior
-7.399999999999999894e-04	-1.500000000000000000e+05	3.828084968146844240e-301
-7.399999999999999894e-04	-1.450000000000000000e+05	5.478398736933411581e-300
-7.399999999999999894e-04	-1.400000000000000000e+05	7.797710213359440144e-299
-7.399999999999999894e-04	-1.350000000000000000e+05	1.103880158994270578e-297
-7.399999999999999894e-04	-1.300000000000000000e+05	1.554240232073075271e-296
-7.399999999999999894e-04	-1.250000000000000000e+05	2.176485353321807029e-295
-7.399999999999999894e-04	-1.200000000000000000e+05	3.031340587179226018e-294
-7.399999999999999894e-04	-1.150000000000000000e+05	4.199089225368576483e-293
-7.399999999999999894e-04	-1.100000000000000000e+05	5.785179713565666377e-292
-7.399999999999999894e-04	-1.050000000000000000e+05	7.927203177742507613e-291
-7.399999999999999894e-04	-1.000000000000000000e+05	1.080350077755338392e-289
-7.399999999999999894e-04	-9.500000000000000000e+04	1.464368602558802579e-288
-7.399999999999999894e-04	-9.000000000000000000e+04	1.974138839179315393e-287
-7.399999999999999894e-04	-8.500000000000000000e+04	2.646953794445602627e-286
-7.399999999999999894e-04	-8.000000000000000000e+04	3.529851302618018125e-285
-7.399999999999999894e-04	-7.500000000000000000e+04	4.681745961300139927e-284
-7.399999999999999894e-04	-7.000000000000000000e+04	6.175905773638229003e-283
-7.399999999999999894e-04	-6.500000000000000000e+04	8.102795183610100496e-282
-7.399999999999999894e-04	-6.000000000000000000e+04	1.057329731165085891e-280
-7.399999999999999894e-04	-5.500000000000000000e+04	1.372231582588568756e-279
-7.399999999999999894e-04	-5.000000000000000000e+04	1.771274049591288430e-278
-7.399999999999999894e-04	-4.500000000000000000e+04	2.273973987793306492e-277
-7.399999999999999894e-04	-4.000000000000000000e+04	2.903531941962732624e-276
-7.399999999999999894e-04	-3.500000000000000000e+04	3.687305378472509026e-275
