sigma1	sigma2	posterior
-5.000000000000000240e-05	6.666666666666648013e-06	1.020113024549690773e-09
-5.000000000000000240e-05	9.999999999999972019e-06	1.171920615261849163e-09
-5.000000000000000240e-05	1.333333333333329603e-05	1.345625543523567125e-09
-5.000000000000000240e-05	1.666666666666662003e-05	1.544297110826700105e-09
-5.000000000000000240e-05	1.999999999999999825e-05	1.771425450377065681e-09
-5.000000000000000240e-05	2.333333333333332225e-05	2.030978792965082815e-09
-5.000000000000000240e-05	2.666666666666664626e-05	2.327468691692924989e-09
-5.000000000000000240e-05	2.999999999999997027e-05	2.666024392841585202e-09
-5.000000000000000240e-05	3.333333333333329427e-05	3.052477743708071656e-09
-5.000000000000000240e-05	3.666666666666667249e-05	3.493460274433392587e-09
-5.000000000000000240e-05	3.999999999999999650e-05	3.996514390828089890e-09
-5.000000000000000240e-05	4.333333333333332050e-05	4.570220983700075024e-09
-5.000000000000000240e-05	4.666666666666664451e-05	5.224346216810246979e-09
-5.000000000000000240e-05	4.999999999999996851e-05	5.970010826715313268e-09
-5.000000000000000240e-05	5.333333333333329252e-05	6.819885989234629046e-09
-5.000000000000000240e-05	5.666666666666667074e-05	7.788420728149085379e-09
-5.000000000000000240e-05	5.999999999999999474e-05	8.892107029609049648e-09
-5.000000000000000240e-05	6.333333333333331875e-05	1.014979037426529371e-08
-5.000000000000000240e-05	6.666666666666664276e-05	1.158303543854982593e-08
-5.000000000000000240e-05	6.999999999999996676e-05	1.321655942803825665e-08
-5.000000000000000240e-05	7.333333333333329077e-05	1.507874914129056984e-08
-5.000000000000000240e-05	7.666666666666666899e-05	1.720228277074355638e-08
-5.000000000000000240e-05	7.999999999999999299e-05	1.962488410786655693e-08
-5.000000000000000240e-05	8.333333333333331700e-05	2.239024588670317219e-08
-5.000000000000000240e-05	8.666666666666664100e-05	2.554917135312627639e-08
-5.000000000000000240e-05	8.999999999999996501e-05	2.916099995260342989e-08
-5.000000000000000240e-05	9.333333333333334323e-05	3.329540580182202909e-08
-5.000000000000000240e-05	9.666666666666661302e-05	3.803468827004741383e-08
