sigma1	sigma2	posterior
-5.000000000000000240e-05	-2.633333333333333554e-04	4.923034652611999405e-28
-5.000000000000000240e-05	-2.600000000000000314e-04	7.649870515759173945e-28
-5.000000000000000240e-05	-2.566666666666666532e-04	1.186542506176839064e-27
-5.000000000000000240e-05	-2.533333333333333834e-04	1.837049616129930860e-27
-5.000000000000000240e-05	-2.500000000000000052e-04	2.839011748259588481e-27
-5.000000000000000240e-05	-2.466666666666666812e-04	4.379480197765721428e-27
-5.000000000000000240e-05	-2.433333333333333572e-04	6.743531331667887981e-27
-5.000000000000000240e-05	-2.400000000000000332e-04	1.036482552333471667e-26
-5.000000000000000240e-05	-2.366666666666666821e-04	1.590181841660126640e-26
-5.000000000000000240e-05	-2.333333333333333581e-04	2.435242101310689635e-26
-5.000000000000000240e-05	-2.300000000000000070e-04	3.722617754850937644e-26
-5.000000000000000240e-05	-2.266666666666666829e-04	5.680232183139734654e-26
-5.000000000000000240e-05	-2.233333333333333589e-04	8.651580982517898249e-26
-5.000000000000000240e-05	-2.200000000000000078e-04	1.315336955061969897e-25
-5.000000000000000240e-05	-2.166666666666666838e-04	1.996140655587253743e-25
-5.000000000000000240e-05	-2.133333333333333598e-04	3.023836167549822240e-25
-5.000000000000000240e-05	-2.100000000000000087e-04	4.572343057835872686e-25
-5.000000000000000240e-05	-2.066666666666666847e-04	6.901336975692662376e-25
-5.000000000000000240e-05	-2.033333333333333607e-04	1.039781260462218438e-24
-5.000000000000000240e-05	-2.000000000000000096e-04	1.563743528528483717e-24
-5.000000000000000240e-05	-1.966666666666666856e-04	2.347493080402973569e-24
-5.000000000000000240e-05	-1.933333333333333616e-04	3.517700423441753156e-24
-5.000000000000000240e-05	-1.900000000000000105e-04	5.261742670616064306e-24
-5.000000000000000240e-05	-1.866666666666666865e-04	7.856282302849774906e-24
-5.000000000000000240e-05	-1.833333333333333624e-04	1.170905343877901189e-23
-5.000000000000000240e-05	-1.800000000000000113e-04	1.741984341057214577e-23
-5.000000000000000240e-05	-1.766666666666666873e-04	2.586931849987169647e-23
-5.000000000000000240e-05	-1.733333333333333633e-04	3.834816204399549923e-23
-5.000000000000000240e-05	-1.700000000000000122e-04	5.674446415019117498e-23
-5.000000000000000240e-05	-1.666666666666666882e-04	8.381512376040353707e-23
-5.000000000000000240e-05	-1.633333333333333642e-04	1.235781835590424968e-22
-5.000000000000000240e-05	-1.600000000000000131e-04	1.818789095933293601e-22
-5.000000000000000240e-05	-1.566666666666666891e-04	2.672050120381953227e-22
-5.000000000000000240e-05	-1.533333333333333380e-04	3.918584370902110310e-22
-5.000000000000000240e-05	-1.500000000000000140e-04	5.736365062934936726e-22
-5.000000000000000240e-05	-1.466666666666666900e-04	8.382392448797010827e-22
-5.000000000000000240e-05	-1.433333333333333660e-04	1.222710073918455919e-21
-5.000000000000000240e-05	-1.400000000000000419e-04	1.780344161861835906e-21
-5.000000000000000240e-05	-1.366666666666666637e-04	2.587677268965581437e-21
-5.000000000000000240e-05	-1.333333333333333397e-04	3.754418176891836061e-21
